mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,car_name,origin_2,origin_3
13.0,8,350.0,165.0,4274.0,12.0,72,chevrolet impala,False,False
14.0,8,400.0,175.0,4385.0,12.0,72,pontiac catalina,False,False
15.0,8,318.0,150.0,4135.0,13.5,72,plymouth fury iii,False,False
14.0,8,351.0,153.0,4129.0,13.0,72,ford galaxie 500,False,False
17.0,8,304.0,150.0,3672.0,11.5,72,amc ambassador sst,False,False
11.0,8,429.0,208.0,4633.0,11.0,72,mercury marquis,False,False
13.0,8,350.0,155.0,4502.0,13.5,72,buick lesabre custom,False,False
12.0,8,350.0,160.0,4456.0,13.5,72,oldsmobile delta 88 royale,False,False
13.0,8,400.0,190.0,4422.0,12.5,72,chrysler newport royal,False,False
19.0,3,70.0,97.0,2330.0,13.5,72,mazda rx2 coupe,False,True
15.0,8,304.0,150.0,3892.0,12.5,72,amc matador (sw),False,False
13.0,8,307.0,130.0,4098.0,14.0,72,chevrolet chevelle concours (sw),False,False
13.0,8,302.0,140.0,4294.0,16.0,72,ford gran torino (sw),False,False
14.0,8,318.0,150.0,4077.0,14.0,72,plymouth satellite custom (sw),False,False
18.0,4,121.0,112.0,2933.0,14.5,72,volvo 145e (sw),True,False
22.0,4,121.0,76.0,2511.0,18.0,72,volkswagen 411 (sw),True,False
21.0,4,120.0,87.0,2979.0,19.5,72,peugeot 504 (sw),True,False
26.0,4,96.0,69.0,2189.0,18.0,72,renault 12 (sw),True,False
22.0,4,122.0,86.0,2395.0,16.0,72,ford pinto (sw),False,False
28.0,4,97.0,92.0,2288.0,17.0,72,datsun 510 (sw),False,True
23.0,4,120.0,97.0,2506.0,14.5,72,toyouta corona mark ii (sw),False,True
28.0,4,98.0,80.0,2164.0,15.0,72,dodge colt (sw),False,False
27.0,4,97.0,88.0,2100.0,16.5,72,toyota corolla 1600 (sw),False,True
13.0,8,350.0,175.0,4100.0,13.0,73,buick century 350,False,False
14.0,8,304.0,150.0,3672.0,11.5,73,amc matador,False,False
13.0,8,350.0,145.0,3988.0,13.0,73,chevrolet malibu,False,False
14.0,8,302.0,137.0,4042.0,14.5,73,ford gran torino,False,False
15.0,8,318.0,150.0,3777.0,12.5,73,dodge coronet custom,False,False
12.0,8,429.0,198.0,4952.0,11.5,73,mercury marquis brougham,False,False
13.0,8,400.0,150.0,4464.0,12.0,73,chevrolet caprice classic,False,False
13.0,8,351.0,158.0,4363.0,13.0,73,ford ltd,False,False
14.0,8,318.0,150.0,4237.0,14.5,73,plymouth fury gran sedan,False,False
13.0,8,440.0,215.0,4735.0,11.0,73,chrysler new yorker brougham,False,False
12.0,8,455.0,225.0,4951.0,11.0,73,buick electra 225 custom,False,False
13.0,8,360.0,175.0,3821.0,11.0,73,amc ambassador brougham,False,False
18.0,6,225.0,105.0,3121.0,16.5,73,plymouth valiant,False,False
16.0,6,250.0,100.0,3278.0,18.0,73,chevrolet nova custom,False,False
18.0,6,232.0,100.0,2945.0,16.0,73,amc hornet,False,False
18.0,6,250.0,88.0,3021.0,16.5,73,ford maverick,False,False
23.0,6,198.0,95.0,2904.0,16.0,73,plymouth duster,False,False
26.0,4,97.0,46.0,1950.0,21.0,73,volkswagen super beetle,True,False
11.0,8,400.0,150.0,4997.0,14.0,73,chevrolet impala,False,False
12.0,8,400.0,167.0,4906.0,12.5,73,ford country,False,False
13.0,8,360.0,170.0,4654.0,13.0,73,plymouth custom suburb,False,False
12.0,8,350.0,180.0,4499.0,12.5,73,oldsmobile vista cruiser,False,False
18.0,6,232.0,100.0,2789.0,15.0,73,amc gremlin,False,False
20.0,4,97.0,88.0,2279.0,19.0,73,toyota carina,False,True
21.0,4,140.0,72.0,2401.0,19.5,73,chevrolet vega,False,False
22.0,4,108.0,94.0,2379.0,16.5,73,datsun 610,False,True
18.0,3,70.0,90.0,2124.0,13.5,73,maxda rx3,False,True
19.0,4,122.0,85.0,2310.0,18.5,73,ford pinto,False,False
21.0,6,155.0,107.0,2472.0,14.0,73,mercury capri v6,False,False
26.0,4,98.0,90.0,2265.0,15.5,73,fiat 124 sport coupe,True,False
15.0,8,350.0,145.0,4082.0,13.0,73,chevrolet monte carlo s,False,False
16.0,8,400.0,230.0,4278.0,9.5,73,pontiac grand prix,False,False
29.0,4,68.0,49.0,1867.0,19.5,73,fiat 128,True,False
24.0,4,116.0,75.0,2158.0,15.5,73,opel manta,True,False
20.0,4,114.0,91.0,2582.0,14.0,73,audi 100ls,True,False
19.0,4,121.0,112.0,2868.0,15.5,73,volvo 144ea,True,False
15.0,8,318.0,150.0,3399.0,11.0,73,dodge dart custom,False,False
24.0,4,121.0,110.0,2660.0,14.0,73,saab 99le,True,False
20.0,6,156.0,122.0,2807.0,13.5,73,toyota mark ii,False,True
11.0,8,350.0,180.0,3664.0,11.0,73,oldsmobile omega,False,False
20.0,6,198.0,95.0,3102.0,16.5,74,plymouth duster,False,False
19.0,6,232.0,100.0,2901.0,16.0,74,amc hornet,False,False
15.0,6,250.0,100.0,3336.0,17.0,74,chevrolet nova,False,False
31.0,4,79.0,67.0,1950.0,19.0,74,datsun b210,False,True
26.0,4,122.0,80.0,2451.0,16.5,74,ford pinto,False,False
32.0,4,71.0,65.0,1836.0,21.0,74,toyota corolla 1200,False,True
25.0,4,140.0,75.0,2542.0,17.0,74,chevrolet vega,False,False
16.0,6,250.0,100.0,3781.0,17.0,74,chevrolet chevelle malibu classic,False,False
16.0,6,258.0,110.0,3632.0,18.0,74,amc matador,False,False
18.0,6,225.0,105.0,3613.0,16.5,74,plymouth satellite sebring,False,False
16.0,8,302.0,140.0,4141.0,14.0,74,ford gran torino,False,False
13.0,8,350.0,150.0,4699.0,14.5,74,buick century luxus (sw),False,False
14.0,8,318.0,150.0,4457.0,13.5,74,dodge coronet custom (sw),False,False
14.0,8,302.0,140.0,4638.0,16.0,74,ford gran torino (sw),False,False
14.0,8,304.0,150.0,4257.0,15.5,74,amc matador (sw),False,False
29.0,4,98.0,83.0,2219.0,16.5,74,audi fox,True,False
26.0,4,79.0,67.0,1963.0,15.5,74,volkswagen dasher,True,False
26.0,4,97.0,78.0,2300.0,14.5,74,opel manta,True,False
31.0,4,76.0,52.0,1649.0,16.5,74,toyota corona,False,True
32.0,4,83.0,61.0,2003.0,19.0,74,datsun 710,False,True
28.0,4,90.0,75.0,2125.0,14.5,74,dodge colt,False,False
24.0,4,90.0,75.0,2108.0,15.5,74,fiat 128,True,False
26.0,4,116.0,75.0,2246.0,14.0,74,fiat 124 tc,True,False
24.0,4,120.0,97.0,2489.0,15.0,74,honda civic,False,True
26.0,4,108.0,93.0,2391.0,15.5,74,subaru,False,True
31.0,4,79.0,67.0,2000.0,16.0,74,fiat x1.9,True,False
19.0,6,225.0,95.0,3264.0,16.0,75,plymouth valiant custom,False,False
18.0,6,250.0,105.0,3459.0,16.0,75,chevrolet nova,False,False
15.0,6,250.0,72.0,3432.0,21.0,75,mercury monarch,False,False
15.0,6,250.0,72.0,3158.0,19.5,75,ford maverick,False,False
16.0,8,400.0,170.0,4668.0,11.5,75,pontiac catalina,False,False
15.0,8,350.0,145.0,4440.0,14.0,75,chevrolet bel air,False,False
16.0,8,318.0,150.0,4498.0,14.5,75,plymouth grand fury,False,False
14.0,8,351.0,148.0,4657.0,13.5,75,ford ltd,False,False
17.0,6,231.0,110.0,3907.0,21.0,75,buick century,False,False
16.0,6,250.0,105.0,3897.0,18.5,75,chevroelt chevelle malibu,False,False
15.0,6,258.0,110.0,3730.0,19.0,75,amc matador,False,False
18.0,6,225.0,95.0,3785.0,19.0,75,plymouth fury,False,False
21.0,6,231.0,110.0,3039.0,15.0,75,buick skyhawk,False,False
20.0,8,262.0,110.0,3221.0,13.5,75,chevrolet monza 2+2,False,False
13.0,8,302.0,129.0,3169.0,12.0,75,ford mustang ii,False,False
29.0,4,97.0,75.0,2171.0,16.0,75,toyota corolla,False,True
23.0,4,140.0,83.0,2639.0,17.0,75,ford pinto,False,False
20.0,6,232.0,100.0,2914.0,16.0,75,amc gremlin,False,False
23.0,4,140.0,78.0,2592.0,18.5,75,pontiac astro,False,False
24.0,4,134.0,96.0,2702.0,13.5,75,toyota corona,False,True
25.0,4,90.0,71.0,2223.0,16.5,75,volkswagen dasher,True,False
24.0,4,119.0,97.0,2545.0,17.0,75,datsun 710,False,True
18.0,6,171.0,97.0,2984.0,14.5,75,ford pinto,False,False
29.0,4,90.0,70.0,1937.0,14.0,75,volkswagen rabbit,True,False
19.0,6,232.0,90.0,3211.0,17.0,75,amc pacer,False,False
23.0,4,115.0,95.0,2694.0,15.0,75,audi 100ls,True,False
23.0,4,120.0,88.0,2957.0,17.0,75,peugeot 504,True,False
22.0,4,121.0,98.0,2945.0,14.5,75,volvo 244dl,True,False
25.0,4,121.0,115.0,2671.0,13.5,75,saab 99le,True,False
33.0,4,91.0,53.0,1795.0,17.5,75,honda civic cvcc,False,True
28.0,4,107.0,86.0,2464.0,15.5,76,fiat 131,True,False
25.0,4,116.0,81.0,2220.0,16.9,76,opel 1900,True,False
25.0,4,140.0,92.0,2572.0,14.9,76,capri ii,False,False
26.0,4,98.0,79.0,2255.0,17.7,76,dodge colt,False,False
27.0,4,101.0,83.0,2202.0,15.3,76,renault 12tl,True,False
17.5,8,305.0,140.0,4215.0,13.0,76,chevrolet chevelle malibu classic,False,False
16.0,8,318.0,150.0,4190.0,13.0,76,dodge coronet brougham,False,False
15.5,8,304.0,120.0,3962.0,13.9,76,amc matador,False,False
14.5,8,351.0,152.0,4215.0,12.8,76,ford gran torino,False,False
22.0,6,225.0,100.0,3233.0,15.4,76,plymouth valiant,False,False
22.0,6,250.0,105.0,3353.0,14.5,76,chevrolet nova,False,False
24.0,6,200.0,81.0,3012.0,17.6,76,ford maverick,False,False
22.5,6,232.0,90.0,3085.0,17.6,76,amc hornet,False,False
29.0,4,85.0,52.0,2035.0,22.2,76,chevrolet chevette,False,False
24.5,4,98.0,60.0,2164.0,22.1,76,chevrolet woody,False,False
29.0,4,90.0,70.0,1937.0,14.2,76,vw rabbit,True,False
33.0,4,91.0,53.0,1795.0,17.4,76,honda civic,False,True
20.0,6,225.0,100.0,3651.0,17.7,76,dodge aspen se,False,False
18.0,6,250.0,78.0,3574.0,21.0,76,ford granada ghia,False,False
18.5,6,250.0,110.0,3645.0,16.2,76,pontiac ventura sj,False,False
17.5,6,258.0,95.0,3193.0,17.8,76,amc pacer d/l,False,False
29.5,4,97.0,71.0,1825.0,12.2,76,volkswagen rabbit,True,False
32.0,4,85.0,70.0,1990.0,17.0,76,datsun b-210,False,True
28.0,4,97.0,75.0,2155.0,16.4,76,toyota corolla,False,True
26.5,4,140.0,72.0,2565.0,13.6,76,ford pinto,False,False
20.0,4,130.0,102.0,3150.0,15.7,76,volvo 245,True,False
13.0,8,318.0,150.0,3940.0,13.2,76,plymouth volare premier v8,False,False
19.0,4,120.0,88.0,3270.0,21.9,76,peugeot 504,True,False
19.0,6,156.0,108.0,2930.0,15.5,76,toyota mark ii,False,True
16.5,6,168.0,120.0,3820.0,16.7,76,mercedes-benz 280s,True,False
16.5,8,350.0,180.0,4380.0,12.1,76,cadillac seville,False,False
13.0,8,350.0,145.0,4055.0,12.0,76,chevy c10,False,False
13.0,8,302.0,130.0,3870.0,15.0,76,ford f108,False,False
13.0,8,318.0,150.0,3755.0,14.0,76,dodge d100,False,False
31.5,4,98.0,68.0,2045.0,18.5,77,honda accord cvcc,False,True
30.0,4,111.0,80.0,2155.0,14.8,77,buick opel isuzu deluxe,False,False
36.0,4,79.0,58.0,1825.0,18.6,77,renault 5 gtl,True,False
25.5,4,122.0,96.0,2300.0,15.5,77,plymouth arrow gs,False,False
33.5,4,85.0,70.0,1945.0,16.8,77,datsun f-10 hatchback,False,True
17.5,8,305.0,145.0,3880.0,12.5,77,chevrolet caprice classic,False,False
17.0,8,260.0,110.0,4060.0,19.0,77,oldsmobile cutlass supreme,False,False
15.5,8,318.0,145.0,4140.0,13.7,77,dodge monaco brougham,False,False
15.0,8,302.0,130.0,4295.0,14.9,77,mercury cougar brougham,False,False
17.5,6,250.0,110.0,3520.0,16.4,77,chevrolet concours,False,False
20.5,6,231.0,105.0,3425.0,16.9,77,buick skylark,False,False
19.0,6,225.0,100.0,3630.0,17.7,77,plymouth volare custom,False,False
18.5,6,250.0,98.0,3525.0,19.0,77,ford granada,False,False
16.0,8,400.0,180.0,4220.0,11.1,77,pontiac grand prix lj,False,False
15.5,8,350.0,170.0,4165.0,11.4,77,chevrolet monte carlo landau,False,False
15.5,8,400.0,190.0,4325.0,12.2,77,chrysler cordoba,False,False
16.0,8,351.0,149.0,4335.0,14.5,77,ford thunderbird,False,False
29.0,4,97.0,78.0,1940.0,14.5,77,volkswagen rabbit custom,True,False
24.5,4,151.0,88.0,2740.0,16.0,77,pontiac sunbird coupe,False,False
26.0,4,97.0,75.0,2265.0,18.2,77,toyota corolla liftback,False,True
25.5,4,140.0,89.0,2755.0,15.8,77,ford mustang ii 2+2,False,False
30.5,4,98.0,63.0,2051.0,17.0,77,chevrolet chevette,False,False
33.5,4,98.0,83.0,2075.0,15.9,77,dodge colt m/m,False,False
30.0,4,97.0,67.0,1985.0,16.4,77,subaru dl,False,True
30.5,4,97.0,78.0,2190.0,14.1,77,volkswagen dasher,True,False
22.0,6,146.0,97.0,2815.0,14.5,77,datsun 810,False,True
21.5,4,121.0,110.0,2600.0,12.8,77,bmw 320i,True,False
21.5,3,80.0,110.0,2720.0,13.5,77,mazda rx-4,False,True
43.1,4,90.0,48.0,1985.0,21.5,78,volkswagen rabbit custom diesel,True,False
36.1,4,98.0,66.0,1800.0,14.4,78,ford fiesta,False,False
32.8,4,78.0,52.0,1985.0,19.4,78,mazda glc deluxe,False,True
39.4,4,85.0,70.0,2070.0,18.6,78,datsun b210 gx,False,True
36.1,4,91.0,60.0,1800.0,16.4,78,honda civic cvcc,False,True
19.9,8,260.0,110.0,3365.0,15.5,78,oldsmobile cutlass salon brougham,False,False
19.4,8,318.0,140.0,3735.0,13.2,78,dodge diplomat,False,False
20.2,8,302.0,139.0,3570.0,12.8,78,mercury monarch ghia,False,False
19.2,6,231.0,105.0,3535.0,19.2,78,pontiac phoenix lj,False,False
20.5,6,200.0,95.0,3155.0,18.2,78,chevrolet malibu,False,False
20.2,6,200.0,85.0,2965.0,15.8,78,ford fairmont (auto),False,False
25.1,4,140.0,88.0,2720.0,15.4,78,ford fairmont (man),False,False
20.5,6,225.0,100.0,3430.0,17.2,78,plymouth volare,False,False
19.4,6,232.0,90.0,3210.0,17.2,78,amc concord,False,False
20.6,6,231.0,105.0,3380.0,15.8,78,buick century special,False,False
20.8,6,200.0,85.0,3070.0,16.7,78,mercury zephyr,False,False
18.6,6,225.0,110.0,3620.0,18.7,78,dodge aspen,False,False
18.1,6,258.0,120.0,3410.0,15.1,78,amc concord d/l,False,False
19.2,8,305.0,145.0,3425.0,13.2,78,chevrolet monte carlo landau,False,False
17.7,6,231.0,165.0,3445.0,13.4,78,buick regal sport coupe (turbo),False,False
18.1,8,302.0,139.0,3205.0,11.2,78,ford futura,False,False
17.5,8,318.0,140.0,4080.0,13.7,78,dodge magnum xe,False,False
30.0,4,98.0,68.0,2155.0,16.5,78,chevrolet chevette,False,False
27.5,4,134.0,95.0,2560.0,14.2,78,toyota corona,False,True
27.2,4,119.0,97.0,2300.0,14.7,78,datsun 510,False,True
30.9,4,105.0,75.0,2230.0,14.5,78,dodge omni,False,False
21.1,4,134.0,95.0,2515.0,14.8,78,toyota celica gt liftback,False,True
23.2,4,156.0,105.0,2745.0,16.7,78,plymouth sapporo,False,False
23.8,4,151.0,85.0,2855.0,17.6,78,oldsmobile starfire sx,False,False
23.9,4,119.0,97.0,2405.0,14.9,78,datsun 200-sx,False,True
20.3,5,131.0,103.0,2830.0,15.9,78,audi 5000,True,False
17.0,6,163.0,125.0,3140.0,13.6,78,volvo 264gl,True,False
21.6,4,121.0,115.0,2795.0,15.7,78,saab 99gle,True,False
16.2,6,163.0,133.0,3410.0,15.8,78,peugeot 604sl,True,False
31.5,4,89.0,71.0,1990.0,14.9,78,volkswagen scirocco,True,False
29.5,4,98.0,68.0,2135.0,16.6,78,honda accord lx,False,True
21.5,6,231.0,115.0,3245.0,15.4,79,pontiac lemans v6,False,False
19.8,6,200.0,85.0,2990.0,18.2,79,mercury zephyr 6,False,False
22.3,4,140.0,88.0,2890.0,17.3,79,ford fairmont 4,False,False
20.2,6,232.0,90.0,3265.0,18.2,79,amc concord dl 6,False,False
20.6,6,225.0,110.0,3360.0,16.6,79,dodge aspen 6,False,False
17.0,8,305.0,130.0,3840.0,15.4,79,chevrolet caprice classic,False,False
17.6,8,302.0,129.0,3725.0,13.4,79,ford ltd landau,False,False
16.5,8,351.0,138.0,3955.0,13.2,79,mercury grand marquis,False,False
18.2,8,318.0,135.0,3830.0,15.2,79,dodge st. regis,False,False
16.9,8,350.0,155.0,4360.0,14.9,79,buick estate wagon (sw),False,False
15.5,8,351.0,142.0,4054.0,14.3,79,ford country squire (sw),False,False
19.2,8,267.0,125.0,3605.0,15.0,79,chevrolet malibu classic (sw),False,False
18.5,8,360.0,150.0,3940.0,13.0,79,chrysler lebaron town @ country (sw),False,False
31.9,4,89.0,71.0,1925.0,14.0,79,vw rabbit custom,True,False
34.1,4,86.0,65.0,1975.0,15.2,79,maxda glc deluxe,False,True
35.7,4,98.0,80.0,1915.0,14.4,79,dodge colt hatchback custom,False,False
27.4,4,121.0,80.0,2670.0,15.0,79,amc spirit dl,False,False
25.4,5,183.0,77.0,3530.0,20.1,79,mercedes benz 300d,True,False
23.0,8,350.0,125.0,3900.0,17.4,79,cadillac eldorado,False,False
27.2,4,141.0,71.0,3190.0,24.8,79,peugeot 504,True,False
23.9,8,260.0,90.0,3420.0,22.2,79,oldsmobile cutlass salon brougham,False,False
34.2,4,105.0,70.0,2200.0,13.2,79,plymouth horizon,False,False
34.5,4,105.0,70.0,2150.0,14.9,79,plymouth horizon tc3,False,False
31.8,4,85.0,65.0,2020.0,19.2,79,datsun 210,False,True
37.3,4,91.0,69.0,2130.0,14.7,79,fiat strada custom,True,False
28.4,4,151.0,90.0,2670.0,16.0,79,buick skylark limited,False,False
28.8,6,173.0,115.0,2595.0,11.3,79,chevrolet citation,False,False
26.8,6,173.0,115.0,2700.0,12.9,79,oldsmobile omega brougham,False,False
33.5,4,151.0,90.0,2556.0,13.2,79,pontiac phoenix,False,False
41.5,4,98.0,76.0,2144.0,14.7,80,vw rabbit,True,False
38.1,4,89.0,60.0,1968.0,18.8,80,toyota corolla tercel,False,True
32.1,4,98.0,70.0,2120.0,15.5,80,chevrolet chevette,False,False
37.2,4,86.0,65.0,2019.0,16.4,80,datsun 310,False,True
28.0,4,151.0,90.0,2678.0,16.5,80,chevrolet citation,False,False
26.4,4,140.0,88.0,2870.0,18.1,80,ford fairmont,False,False
24.3,4,151.0,90.0,3003.0,20.1,80,amc concord,False,False
19.1,6,225.0,90.0,3381.0,18.7,80,dodge aspen,False,False
34.3,4,97.0,78.0,2188.0,15.8,80,audi 4000,True,False
29.8,4,134.0,90.0,2711.0,15.5,80,toyota corona liftback,False,True
31.3,4,120.0,75.0,2542.0,17.5,80,mazda 626,False,True
37.0,4,119.0,92.0,2434.0,15.0,80,datsun 510 hatchback,False,True
32.2,4,108.0,75.0,2265.0,15.2,80,toyota corolla,False,True
46.6,4,86.0,65.0,2110.0,17.9,80,mazda glc,False,True
27.9,4,156.0,105.0,2800.0,14.4,80,dodge colt,False,False
40.8,4,85.0,65.0,2110.0,19.2,80,datsun 210,False,True
44.3,4,90.0,48.0,2085.0,21.7,80,vw rabbit c (diesel),True,False
43.4,4,90.0,48.0,2335.0,23.7,80,vw dasher (diesel),True,False
36.4,5,121.0,67.0,2950.0,19.9,80,audi 5000s (diesel),True,False
30.0,4,146.0,67.0,3250.0,21.8,80,mercedes-benz 240d,True,False
44.6,4,91.0,67.0,1850.0,13.8,80,honda civic 1500 gl,False,True
33.8,4,97.0,67.0,2145.0,18.0,80,subaru dl,False,True
29.8,4,89.0,62.0,1845.0,15.3,80,vokswagen rabbit,True,False
32.7,6,168.0,132.0,2910.0,11.4,80,datsun 280-zx,False,True
23.7,3,70.0,100.0,2420.0,12.5,80,mazda rx-7 gs,False,True
35.0,4,122.0,88.0,2500.0,15.1,80,triumph tr7 coupe,True,False
32.4,4,107.0,72.0,2290.0,17.0,80,honda accord,False,True
27.2,4,135.0,84.0,2490.0,15.7,81,plymouth reliant,False,False
26.6,4,151.0,84.0,2635.0,16.4,81,buick skylark,False,False
25.8,4,156.0,92.0,2620.0,14.4,81,dodge aries wagon (sw),False,False
23.5,6,173.0,110.0,2725.0,12.6,81,chevrolet citation,False,False
30.0,4,135.0,84.0,2385.0,12.9,81,plymouth reliant,False,False
39.1,4,79.0,58.0,1755.0,16.9,81,toyota starlet,False,True
39.0,4,86.0,64.0,1875.0,16.4,81,plymouth champ,False,False
35.1,4,81.0,60.0,1760.0,16.1,81,honda civic 1300,False,True
32.3,4,97.0,67.0,2065.0,17.8,81,subaru,False,True
37.0,4,85.0,65.0,1975.0,19.4,81,datsun 210 mpg,False,True
37.7,4,89.0,62.0,2050.0,17.3,81,toyota tercel,False,True
34.1,4,91.0,68.0,1985.0,16.0,81,mazda glc 4,False,True
34.7,4,105.0,63.0,2215.0,14.9,81,plymouth horizon 4,False,False
34.4,4,98.0,65.0,2045.0,16.2,81,ford escort 4w,False,False
29.9,4,98.0,65.0,2380.0,20.7,81,ford escort 2h,False,False
33.0,4,105.0,74.0,2190.0,14.2,81,volkswagen jetta,True,False
33.7,4,107.0,75.0,2210.0,14.4,81,honda prelude,False,True
32.4,4,108.0,75.0,2350.0,16.8,81,toyota corolla,False,True
32.9,4,119.0,100.0,2615.0,14.8,81,datsun 200sx,False,True
31.6,4,120.0,74.0,2635.0,18.3,81,mazda 626,False,True
28.1,4,141.0,80.0,3230.0,20.4,81,peugeot 505s turbo diesel,True,False
30.7,6,145.0,76.0,3160.0,19.6,81,volvo diesel,True,False
25.4,6,168.0,116.0,2900.0,12.6,81,toyota cressida,False,True
24.2,6,146.0,120.0,2930.0,13.8,81,datsun 810 maxima,False,True
22.4,6,231.0,110.0,3415.0,15.8,81,buick century,False,False
26.6,8,350.0,105.0,3725.0,19.0,81,oldsmobile cutlass ls,False,False
20.2,6,200.0,88.0,3060.0,17.1,81,ford granada gl,False,False
17.6,6,225.0,85.0,3465.0,16.6,81,chrysler lebaron salon,False,False
28.0,4,112.0,88.0,2605.0,19.6,82,chevrolet cavalier,False,False
27.0,4,112.0,88.0,2640.0,18.6,82,chevrolet cavalier wagon,False,False
34.0,4,112.0,88.0,2395.0,18.0,82,chevrolet cavalier 2-door,False,False
31.0,4,112.0,85.0,2575.0,16.2,82,pontiac j2000 se hatchback,False,False
29.0,4,135.0,84.0,2525.0,16.0,82,dodge aries se,False,False
27.0,4,151.0,90.0,2735.0,18.0,82,pontiac phoenix,False,False
24.0,4,140.0,92.0,2865.0,16.4,82,ford fairmont futura,False,False
36.0,4,105.0,74.0,1980.0,15.3,82,volkswagen rabbit l,True,False
